sampleID,animalID,sampleTubeNo.,elution,sampleType,xtnLocation,pcr1TestNo.,pcr1TubeNo.,pcr2TubeNo.,captureDate,groupName,animalName,species,sex
tamOpt_001,73,505,E2,blood,manual xtn,6,1,1,2016-06-30,IC,GPG,SIMP,F
tamOpt_002,203,700,E1,blood,manual xtn,6,2,2,2018-06-19,Bloopers,BLBW3,SFUS,M
tamOpt_003,216,1197,E1,blood,manual xtn,6,3,3,2019-06-12,AR6,OPO,SFUS,F
tamOpt_004,10,1183,E2,blood,manual xtn,6,4,4,2019-06-09,Sun7,YBS,SFUS,M
tamOpt_005,27,1191,E2,blood,manual xtn,6,5,5,2019-06-12,AR6,OBL,SFUS,M
tamOpt_006,182,1275,E2,blood,manual xtn,6,6,6,2019-07-01,Ji,RPO,SIMP,F
tamOpt_007,223,15,E1,hair,manual xtn,6,7,7,2019-06-15,Ghosts,LPS,SFUS,F
tamOpt_008,50,326,E1,blood,"P2:E1, A1",6,8,8,2014-07-12,Loners,LPBL,SFUS,F
TamOpt_009,51,1135,E1,blood,"P2:E1, A3",6,9,9,2018-07-03,Royals,LPG/RC,SFUS,F
tamOpt_010,164,383,E1,blood,"P2:E1, A5",6,10,10,2015-06-21,StarrySky,SPL2,SFUS,F
TamOpt_011,196,903,E1,blood,"P2:E1, A9",6,11,11,2018-06-22,StarrySky,YPBL/RC,SFUS,F
tamOpt_012,161,388,E1,blood,"P2:E1, A7",6,12,12,2015-06-23,Royals,LBR2,SFUS,M
tamOpt_013,98,75,E1,blood,"P2:E1, B2",6,13,13,2013-07-06,AR6,OBG,SFUS,M
tamOpt_014,44,148,E1,blood,"P2:E1, B6",6,14,14,2013-07-14,Skywalkers,SBY,SFUS,M
tamOpt_015,54,610,E1,blood,"P2:E1, A6",6,15,15,2018-06-30,WhiteEmps,WPO,SIMP,F
tamOpt_016,217,644,E1,blood,"P2:E1, A11",6,16,16,2018-06-07,BritishArmy,WRC2,SIMP,F
tamOpt_017,168,516,E1,blood,"P2:E1, B12",6,17,17,2016-06-28,Ji,RPY,SIMP,F
tamOpt_018,24,466,E1,blood,"P2:E1, C6",6,18,18,2016-06-14,IC,GRC/GPO,SIMP,F
tamOpt_019,148,429,E1,blood,"P2:E1, A2",6,19,19,2015-07-03,Ji,RBR2,SIMP,M
tamOpt_020,1,1,E1,blood,"P2:E1, A4",6,20,20,2013-06-17,MI4,GBW,SIMP,M
tamOpt_021,158,524,E1,blood,"P2:E1, A8",6,21,21,2016-06-29,OrangeEmps,OBO,SIMP,M
tamOpt_022,56,540,E1,blood,"P2:E1, A10",6,22,22,2018-06-30,WhiteEmps,SBG,SIMP,M
tamOpt_023,154,1223,E1,blood,"P2:E1, A12",6,23,23,2019-06-22,IC,GBO,SIMP,M
tamOpt_024,159,52,E1,hair,manual xtn,6,24,24,2019-06-27,OrangeEmps,OBS,SIMP,M
tamOpt_025,(-) ctrl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tamOpt_026,10,1183,E2,blood,manual xtn,4,‘2-1,26,2019-06-09,Sun7,YBS,SFUS,M
tamOpt_027,27,1191,E2,blood,manual xtn,4,‘2-2,27,2019-06-12,AR6,OBL,SFUS,M
tamOpt_028,182,1275,E2,blood,manual xtn,4,‘2-3,28,2019-07-01,Ji,RPO,SIMP,F
tamOpt_029,73,505,E2,blood,manual xtn,5,3,29,2016-06-30,IC,GPG,SIMP,F
tamOpt_030,203,700,E1,blood,manual xtn,5,7,30,2018-06-19,Bloopers,BLBW3,SFUS,M
tamOpt_031,216,1197,E1,blood,manual xtn,5,11,31,2019-06-12,AR6,OPO,SFUS,F
tamOpt_032,10,1183,E2,blood,manual xtn,5,15,32,2019-06-09,Sun7,YBS,SFUS,M
tamOpt_033,27,1191,E2,blood,manual xtn,5,19,33,2019-06-12,AR6,OBL,SFUS,M
tamOpt_034,182,1275,E2,blood,manual xtn,5,23,34,2019-07-01,Ji,RPO,SIMP,F
tamOpt_035,223,15,E1,hair,manual xtn,5,26,35,2019-06-15,Ghosts,LPS,SFUS,F
